country,iso3,who_region,month_start,month_lab,cases,deaths
Andorra,AND,EURO,2024-01-01,Jan 2024,0,0
Andorra,AND,EURO,2024-02-01,Feb 2024,0,0
Andorra,AND,EURO,2024-03-01,Mar 2024,0,0
Andorra,AND,EURO,2024-04-01,Apr 2024,0,0
Andorra,AND,EURO,2024-05-01,May 2024,0,0
Andorra,AND,EURO,2024-06-01,Jun 2024,0,0
Argentina,ARG,AMRO,2024-01-01,Jan 2024,13,0
Argentina,ARG,AMRO,2024-02-01,Feb 2024,0,0
Argentina,ARG,AMRO,2024-03-01,Mar 2024,0,0
Argentina,ARG,AMRO,2024-04-01,Apr 2024,0,0
Argentina,ARG,AMRO,2024-05-01,May 2024,0,0
Argentina,ARG,AMRO,2024-06-01,Jun 2024,0,0
Aruba,ABW,AMRO,2024-01-01,Jan 2024,0,0
Aruba,ABW,AMRO,2024-02-01,Feb 2024,0,0
Aruba,ABW,AMRO,2024-03-01,Mar 2024,0,0
Aruba,ABW,AMRO,2024-04-01,Apr 2024,0,0
Aruba,ABW,AMRO,2024-05-01,May 2024,0,0
Aruba,ABW,AMRO,2024-06-01,Jun 2024,0,0
Australia,AUS,WPRO,2024-01-01,Jan 2024,6,0
Australia,AUS,WPRO,2024-04-01,Apr 2024,5,0
Australia,AUS,WPRO,2024-05-01,May 2024,33,0
Australia,AUS,WPRO,2024-06-01,Jun 2024,64,0
Austria,AUT,EURO,2024-01-01,Jan 2024,3,0
Austria,AUT,EURO,2024-02-01,Feb 2024,4,1
Austria,AUT,EURO,2024-03-01,Mar 2024,0,0
Austria,AUT,EURO,2024-04-01,Apr 2024,1,0
Austria,AUT,EURO,2024-05-01,May 2024,2,0
Austria,AUT,EURO,2024-06-01,Jun 2024,0,0
Bahamas,BHS,AMRO,2024-01-01,Jan 2024,0,0
Bahamas,BHS,AMRO,2024-02-01,Feb 2024,0,0
Bahamas,BHS,AMRO,2024-03-01,Mar 2024,0,0
Bahamas,BHS,AMRO,2024-04-01,Apr 2024,0,0
Bahamas,BHS,AMRO,2024-05-01,May 2024,0,0
Bahamas,BHS,AMRO,2024-06-01,Jun 2024,0,0
Barbados,BRB,AMRO,2024-01-01,Jan 2024,0,0
Barbados,BRB,AMRO,2024-02-01,Feb 2024,0,0
Barbados,BRB,AMRO,2024-03-01,Mar 2024,0,0
Barbados,BRB,AMRO,2024-04-01,Apr 2024,0,0
Barbados,BRB,AMRO,2024-05-01,May 2024,0,0
Barbados,BRB,AMRO,2024-06-01,Jun 2024,0,0
Belgium,BEL,EURO,2024-01-01,Jan 2024,3,0
Belgium,BEL,EURO,2024-02-01,Feb 2024,2,0
Belgium,BEL,EURO,2024-03-01,Mar 2024,1,0
Belgium,BEL,EURO,2024-04-01,Apr 2024,3,0
Belgium,BEL,EURO,2024-05-01,May 2024,0,0
Belgium,BEL,EURO,2024-06-01,Jun 2024,1,0
Benin,BEN,AFRO,2024-01-01,Jan 2024,0,0
Benin,BEN,AFRO,2024-02-01,Feb 2024,0,0
Benin,BEN,AFRO,2024-03-01,Mar 2024,0,0
Benin,BEN,AFRO,2024-04-01,Apr 2024,0,0
Benin,BEN,AFRO,2024-05-01,May 2024,0,0
Benin,BEN,AFRO,2024-06-01,Jun 2024,0,0
Bermuda,BMU,AMRO,2024-01-01,Jan 2024,0,0
Bermuda,BMU,AMRO,2024-02-01,Feb 2024,0,0
Bermuda,BMU,AMRO,2024-03-01,Mar 2024,0,0
Bermuda,BMU,AMRO,2024-04-01,Apr 2024,0,0
